"","country","ccode","year","Capacity","demo","lnpop","lngdp","polity2"
"3037","Benin",434,1981,-0.941995620727539,0,8.18200016021729,7.05272102355957,-0.699999988079071
"3038","Benin",434,1982,-1.10002183914185,0,8.21283912658691,7.12447834014893,-0.699999988079071
"3039","Benin",434,1983,-1.03744292259216,0,8.24433422088623,7.04925489425659,-0.699999988079071
"3040","Benin",434,1984,-1.04720294475555,0,8.27537631988525,7.09506416320801,-0.699999988079071
"3041","Benin",434,1985,-1.07921004295349,0,8.30893802642822,7.13648319244385,-0.699999988079071
"3042","Benin",434,1986,-0.923480331897736,0,8.34021759033203,7.12769365310669,-0.699999988079071
"3043","Benin",434,1987,-0.872383773326874,0,8.37216758728027,7.0817084312439,-0.699999988079071
"3044","Benin",434,1988,-0.972567439079285,0,8.40424823760986,7.08086776733398,-0.699999988079071
"3045","Benin",434,1989,-1.06169939041138,0,8.43533229827881,7.02820158004761,-0.699999988079071
"3046","Benin",434,1990,-1.16432309150696,0,8.46379280090332,7.03526878356934,0
"3047","Benin",434,1991,-1.13762652873993,1,8.49494743347168,7.05012273788452,0.600000023841858
"3048","Benin",434,1992,-0.908553242683411,1,8.52674770355225,7.05789804458618,0.600000023841858
"3049","Benin",434,1993,-1.19575607776642,1,8.5322790145874,7.0457763671875,0.600000023841858
"3050","Benin",434,1994,-1.07203352451324,1,8.56464958190918,7.04403305053711,0.600000023841858
"3051","Benin",434,1995,-0.840520203113556,1,8.59655857086182,7.06047630310059,0.600000023841858
"3052","Benin",434,1996,-0.916303813457489,1,8.62962818145752,7.08422660827637,0.600000023841858
"3053","Benin",434,1997,-0.948598027229309,1,8.67060089111328,7.10824394226074,0.600000023841858
"3054","Benin",434,1998,-0.968548655509949,1,8.66250514984131,7.12044429779053,0.600000023841858
"3055","Benin",434,1999,-1.06844532489777,1,8.68912792205811,7.13409376144409,0.600000023841858
"3056","Benin",434,2000,-1.09485471248627,1,8.71571636199951,7.15851402282715,0.600000023841858
"3057","Benin",434,2001,-0.901089668273926,1,8.71588039398193,7.17395830154419,0.600000023841858
"3058","Benin",434,2002,-0.878124952316284,1,8.71604442596436,7.2004246711731,0.600000023841858
"3059","Benin",434,2003,-0.882430851459503,1,8.71620750427246,7.2063775062561,0.600000023841858
"3060","Benin",434,2004,-0.87712025642395,1,8.71637153625488,7.20563507080078,0.600000023841858
"3061","Benin",434,2005,-0.720242321491241,1,8.72982025146484,7.20117092132568,0.600000023841858
"3062","Benin",434,2006,-0.760000050067902,1,8.74483203887939,7.2063775062561,0.699999988079071
"3063","Benin",434,2007,-0.894200265407562,1,8.76091480255127,7.22110509872437,0.699999988079071
"3064","Benin",434,2008,-0.88128262758255,1,8.77705574035645,7.22142314910889,0.699999988079071
"3065","Benin",434,2009,-0.898936748504639,1,8.79308319091797,7.2210955619812,0.699999988079071
"3066","Mauritania",435,1960,-1.4888436794281,0,6.89972305297852,6.43775177001953,-0.400000005960464
"3067","Mauritania",435,1961,-1.31301987171173,0,6.9186954498291,6.58202505111694,-0.400000005960464
"3068","Mauritania",435,1962,-1.36009752750397,0,6.93828439712524,6.54678535461426,-0.699999988079071
"3069","Mauritania",435,1963,-1.45626246929169,0,6.95844841003418,6.46925020217896,-0.699999988079071
